ts,v,approach_lock,audio_ok,batt_a,batt_v,bilge_fwd,bilge_mid,bilge_rear,bridge_on,captured,captured_by,ch_guard,ch_gun_pan,ch_mode,ch_reverse,ch_rudder,ch_throttle,cog_trim,course,cruise_us,deck_on,depth_mode,esc_us,failsafe_ack,gps_fix,gun_pan_us,heading,heading_mag,heap,lat,lon,mag_baseline_uT,mag_cal_circ_pct,mag_cal_progress,mag_cal_quality,mag_cal_radius_uT,mag_cal_state,mag_cal_ts,mag_calibrated,mag_from_nvs,mag_off_x,mag_off_y,mag_off_z,mag_uT,mode,nav_on,pid_kd,pid_kp,pump,pump_cycle,pump_manual,pump_phase,pump_phase_ms,pump_stuck,radar_burst_ms,radar_on,radar_pause_ms,radar_speed,rc_age_ms,rc_ever_good,rudder_us,sats,session_id,speed_kts,uptime,wp_bearing,wp_dist_m,wp_lat,wp_lon,wp_set,wp_start_lat,wp_start_lon
2026-06-28T21:12:51.881Z,0.6.5,,,0.00,15.07,,,,,true,,,,,,,,,110.1,,,,1662,false,true,,110.2,,,38.846661,-77.167091,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1619,12,,0.7,662,,1.1,,,true,,
2026-06-28T21:12:52.881Z,0.6.5,,,0.00,15.06,,,,,true,,,,,,,,,108.8,,,,1672,false,true,,107.7,,,38.846661,-77.167091,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1620,12,,0.7,663,,1.1,,,true,,
2026-06-28T21:12:53.881Z,0.6.5,,,0.00,15.05,,,,,true,,,,,,,,,112.4,,,,1672,false,true,,113.0,,,38.846657,-77.167084,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1618,12,,0.8,664,,1.4,,,true,,
2026-06-28T21:12:54.881Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,133.6,,,,1672,false,true,,126.1,,,38.846653,-77.167076,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1619,12,,1.0,665,,2.0,,,true,,
2026-06-28T21:12:55.881Z,0.6.5,,,0.00,15.10,,,,,true,,,,,,,,,145.1,,,,1675,false,true,,142.1,,,38.846649,-77.167076,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1646,12,,1.2,666,,2.0,,,true,,
2026-06-28T21:12:56.881Z,0.6.5,,,0.00,15.11,,,,,true,,,,,,,,,161.8,,,,1677,false,true,,160.3,,,38.846641,-77.167076,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1666,12,,1.3,667,,2.4,,,true,,
2026-06-28T21:12:57.882Z,0.6.5,,,0.00,15.06,,,,,true,,,,,,,,,180.0,,,,1677,false,true,,182.4,,,38.846638,-77.167076,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1667,12,,1.0,668,,2.6,,,true,,
2026-06-28T21:12:58.882Z,0.6.5,,,0.00,15.05,,,,,true,,,,,,,,,195.6,,,,1677,false,true,,206.9,,,38.846638,-77.167076,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1666,12,,1.0,669,,2.6,,,true,,
2026-06-28T21:12:59.882Z,0.6.5,,,0.00,15.10,,,,,true,,,,,,,,,228.1,,,,1663,false,true,,233.8,,,38.846634,-77.167084,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1523,12,,1.0,670,,2.5,,,true,,
2026-06-28T21:13:00.883Z,0.6.5,,,0.00,15.10,,,,,true,,,,,,,,,252.4,,,,1657,false,true,,262.9,,,38.846634,-77.167091,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1455,12,,1.0,671,,2.2,,,true,,
2026-06-28T21:13:01.884Z,0.6.5,,,0.00,15.08,,,,,true,,,,,,,,,275.7,,,,1662,false,true,,281.2,,,38.846638,-77.167099,,,,,,,,,,,,,,MANUAL,,,,false,,,,,,,,,,,,1511,12,,1.3,672,,1.7,,,true,,
